"PACIFIC Exchange Rate Service"
"MMM YYYY","USD/TWD","USD/THB","USD/TTD","USD/TND","USD/TRY","USD/AED","USD/UYU","USD/VEF","USD/VND","USD/ZMW","USD/ZMK"
"Oct 1983",0.025368,,,,,,,,,,
"Nov 1983",0.025787,,,,,,,,,,
"Dec 1983",0.025244,,,,,,,,,,
"Jan 1984",0.024872,,,,,,,,,,
"Feb 1984",0.024853,,,,,,,,,,
"Mar 1984",0.024951,,,,,,,,,,
"Apr 1984",0.025136,,,,,,,,,,
"May 1984",0.025179,,,,,,,,,,
"Jun 1984",0.025098,,,,,,,,,,
"Jul 1984",0.025331,,,,,,,,,,
"Aug 1984",0.025581,,,,,,,,,,
"Sep 1984",0.025536,,,,,,,,,,
"Oct 1984",0.025494,,,,,,,,,,
"Nov 1984",0.025368,,,,,,,,,,
"Dec 1984",0.025311,,,,,,,,,,
"Jan 1985",0.025504,,,,,,,,,,
"Feb 1985",0.025492,,,,,,,,,,
"Mar 1985",0.025288,,,,,,,,,,
"Apr 1985",0.025171,,,,,,,,,,
"May 1985",0.025059,,,,,,,,,,
"Jun 1985",0.025090,,,,,,,,,,
"Jul 1985",0.024915,,,,,,,,,,
"Aug 1985",0.024691,,,,,,,,,,
"Sep 1985",0.024713,,,,,,,,,,
"Oct 1985",0.024879,,,,,,,,,,
"Nov 1985",0.025011,,,,,,,,,,
"Dec 1985",0.025059,,,,,,,,,,
"Jan 1986",0.025377,,,,,,,,,,
"Feb 1986",0.025485,,,,,,,,,,
"Mar 1986",0.025623,,,,,,,,,,
"Apr 1986",0.025846,,,,,,,,,,
"May 1986",0.026001,,,,,,,,,,
"Jun 1986",0.026204,,,,,,,,,,
"Jul 1986",0.026233,,,,,,,,,,
"Aug 1986",0.026722,,,,,,,,,,
"Sep 1986",0.027111,,,,,,,,,,
"Oct 1986",0.027287,,,,,,,,,,
"Nov 1986",0.027444,,,,,,,,,,
"Dec 1986",0.027777,,,,,,,,,,
"Jan 1987",0.028325,,,,,,,,,,
"Feb 1987",0.028526,,,,,,,,,,
"Mar 1987",0.028834,,,,,,,,,,
"Apr 1987",0.029563,,,,,,,,,,
"May 1987",0.030908,,,,,,,,,,
