Date,Australia/US,British/US,Canadian/US,Dutch/US,French/US,German/US,Japanese/US,Swiss/US
1979-12-31,0.904,0.45,1.17,1.902,4.018,1.726,240.3,1.595
1980-01-02,0.903,0.45,1.17,1.892,4.015,1.714,238.45,1.578
1980-01-03,0.901,0.45,1.17,1.89,4.01,1.711,238.35,1.572
1980-01-04,0.902,0.45,1.17,1.891,4.025,1.713,234.8,1.576
1980-01-07,0.898,0.44,1.17,1.889,4.009,1.708,231.55,1.57
1980-01-08,0.899,0.44,1.17,1.892,4.013,1.713,234.75,1.577
1980-01-09,0.898,0.44,1.17,1.892,4.013,1.712,234.95,1.574
1980-01-10,0.899,0.44,1.17,1.895,4.023,1.717,235.8,1.579
1980-01-11,0.9,0.44,1.17,1.899,4.032,1.721,236.05,1.583
1980-01-14,0.9,0.44,1.17,1.898,4.032,1.719,236.2,1.583
1980-01-15,0.902,0.44,1.17,1.907,4.048,1.728,239.65,1.595
1980-01-16,0.9,0.44,1.16,1.899,4.032,1.722,238.15,1.585
1980-01-17,0.901,0.44,1.16,1.902,4.039,1.724,239.9,1.593
1980-01-18,0.901,0.44,1.16,1.901,4.036,1.724,239.65,1.593
1980-01-21,0.901,0.44,1.16,1.908,4.053,1.729,241,1.605
1980-01-22,0.902,0.44,1.16,1.912,4.059,1.734,239.7,1.609
1980-01-23,0.9,0.44,1.16,1.91,4.05,1.73,237.25,1.606
1980-01-24,0.901,0.44,1.16,1.912,4.058,1.732,239.35,1.609
1980-01-25,0.902,0.44,1.16,1.918,4.064,1.737,239.6,1.616
1980-01-28,0.903,0.44,1.16,1.919,4.067,1.739,240.22,1.619
1980-01-29,0.904,0.44,1.16,1.918,4.066,1.737,239.35,1.617
1980-01-30,0.903,0.44,1.16,1.917,4.066,1.737,239.5,1.622
1980-01-31,0.904,0.44,1.16,1.927,4.084,1.744,239.33,1.638
1980-02-01,0.905,0.44,1.16,1.926,4.084,1.744,240.45,1.634
1980-02-04,0.904,0.44,1.16,1.926,4.083,1.742,240.29,1.631
1980-02-05,0.903,0.44,1.16,1.924,4.082,1.743,240.1,1.626
1980-02-06,0.902,0.43,1.16,1.914,4.059,1.733,240.1,1.606
1980-02-07,0.902,0.43,1.16,1.919,4.07,1.739,240.09,1.616
1980-02-08,0.903,0.44,1.16,1.919,4.075,1.739,241.65,1.619
1980-02-11,0.904,0.43,1.16,1.918,4.073,1.739,241.4,1.617
1980-02-13,0.904,0.43,1.16,1.911,4.065,1.735,242.1,1.613
1980-02-14,0.904,0.43,1.16,1.913,4.068,1.736,243.39,1.617
1980-02-15,0.899,0.44,1.16,1.919,4.077,1.742,243.2,1.629
1980-02-19,0.906,0.44,1.16,1.925,4.098,1.748,245.36,1.639
1980-02-20,0.907,0.44,1.16,1.926,4.095,1.748,246.05,1.644
1980-02-21,0.907,0.44,1.15,1.925,4.096,1.747,246.09,1.64
1980-02-22,0.908,0.44,1.15,1.938,4.127,1.759,247.45,1.662
1980-02-25,0.909,0.44,1.15,1.941,4.133,1.762,248.35,1.67
1980-02-26,0.91,0.44,1.15,1.945,4.133,1.764,248.08,1.671
1980-02-27,0.91,0.44,1.15,1.939,4.125,1.758,248.45,1.665
