Representative Exchange Rates for Selected Currencies for May 2017,,,,,,,,,,,
Currency,1-May-17,2-May-17,3-May-17,4-May-17,5-May-17,8-May-17,9-May-17,10-May-17,11-May-17,12-May-17,15-May-17
Chinese Yuan,NA,6.8973,6.8936,6.8964,6.8986,6.9034,6.9065,6.9035,6.9032,6.9034,6.898
Euro(1),NA,1.0915,1.0919,1.0927,1.0961,1.0938,1.0888,1.0882,1.086,1.0876,1.0972
Japanese Yen,111.45,112,NA,NA,NA,112.75,113.5,113.85,114.15,113.88,113.4
U.K. Pound Sterling(1),NA,1.2924,1.2926,1.2886,1.2935,1.296,1.29255,1.2947,1.28945,1.2855,1.2928
U.S. Dollar,1,1,1,1,1,1,1,1,1,1,1
Algerian Dinar,NA,109.3475,109.2373,109.2325,109.209,109.2762,109.4969,109.5353,109.6745,109.5497,109.1323
Australian Dollar(1),0.7486,0.7539,0.75,0.7408,0.7376,0.7415,0.7352,0.7366,0.7352,0.7385,0.7399
Bahrain Dinar,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376
Botswana Pula(1),NA,0.096,0.0958,0.0953,0.0952,0.0953,0.0947,0.0953,0.0956,0.0958,0.0965
Brazilian Real,3.1978,3.1978,3.1718,3.1483,3.1774,3.1758,3.1932,3.1851,3.16,3.1553,3.1284
Brunei Dollar,NA,1.3941,1.3938,1.397,1.4015,1.4037,1.4067,NA,1.4112,1.4091,1.4032
Canadian Dollar,NA,1.372,1.3714,NA,1.3712,1.3705,1.3728,1.3672,1.3707,1.3714,1.3641
Chilean Peso,665.41,666.95,666.95,668.98,673.89,674.88,676.32,679.05,672.92,671.55,671.03
Colombian Peso,"2,947.85","2,947.85","2,945.53","2,930.17","2,967.44","2,961.78","2,959.26","2,967.24","2,949.35","2,933.92","2,918.69"
Czech Koruna,NA,24.639,24.607,24.499,24.433,NA,24.497,24.486,24.495,24.435,24.124
Danish Krone,NA,6.8136,6.8112,6.8056,6.7849,6.8008,6.8328,6.8378,6.8509,NA,6.7804
Hungarian Forint,NA,285.98,286.06,285.97,284.84,284.68,285.9,286.27,285.49,285.58,282.88
Icelandic Krona,NA,106.04,106.19,106.29,106.08,106.19,106.12,106.25,105.71,104.81,103.26
Indian Rupee,NA,64.2072,64.1439,64.2115,64.3079,64.2154,64.5065,NA,64.438,64.3043,64.1188
Indonesian Rupiah,NA,"13,316.00","13,297.00","13,330.00","13,339.00","13,324.00","13,317.00","13,355.00",NA,"13,340.00","13,319.00"
Iranian Rial,"32,441.00","32,440.00","32,439.00","32,443.00",NA,"32,444.00","32,446.00","32,449.00","32,451.00",NA,"32,449.00"
Israeli New Sheqel,NA,NA,3.613,3.616,3.61,3.604,3.603,3.605,3.61,3.61,3.598
Kazakhstani Tenge,NA,315.22,315.35,315.68,318.09,318.09,318.09,318.43,316.25,315.5,313.52
Korean Won,NA,"1,133.40",NA,"1,130.70",NA,"1,132.10","1,132.10","1,132.40","1,134.50","1,130.40","1,126.80"
