"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1970","1970","MXN","Mexican Peso","0","units",,,0.006232,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1971","1971","MXN","Mexican Peso","0","units",,,0.006358,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1972","1972","MXN","Mexican Peso","0","units",,,0.006491,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1973","1973","MXN","Mexican Peso","0","units",,,0.006931,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1974","1974","MXN","Mexican Peso","0","units",,,0.007724,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1975","1975","MXN","Mexican Peso","0","units",,,0.00811,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1976","1976","MXN","Mexican Peso","0","units",,,0.009077,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1977","1977","MXN","Mexican Peso","0","units",,,0.01097,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1978","1978","MXN","Mexican Peso","0","units",,,0.011945,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1979","1979","MXN","Mexican Peso","0","units",,,0.012901,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1980","1980","MXN","Mexican Peso","0","units",,,0.014548,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1981","1981","MXN","Mexican Peso","0","units",,,0.016888,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1982","1982","MXN","Mexican Peso","0","units",,,0.025095,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1983","1983","MXN","Mexican Peso","0","units",,,0.045831,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1984","1984","MXN","Mexican Peso","0","units",,,0.072951,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1985","1985","MXN","Mexican Peso","0","units",,,0.111813,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1986","1986","MXN","Mexican Peso","0","units",,,0.199573,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1987","1987","MXN","Mexican Peso","0","units",,,0.453977,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1988","1988","MXN","Mexican Peso","0","units",,,0.914537,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1989","1989","MXN","Mexican Peso","0","units",,,1.097542,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1990","1990","MXN","Mexican Peso","0","units",,,1.345234,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1991","1991","MXN","Mexican Peso","0","units",,,1.625538,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1992","1992","MXN","Mexican Peso","0","units",,,1.838821,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1993","1993","MXN","Mexican Peso","0","units",,,1.988897,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1994","1994","MXN","Mexican Peso","0","units",,,2.108313,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1995","1995","MXN","Mexican Peso","0","units",,,2.7388,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1996","1996","MXN","Mexican Peso","0","units",,,3.498358,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1997","1997","MXN","Mexican Peso","0","units",,,4.028152,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1998","1998","MXN","Mexican Peso","0","units",,,4.820076,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","1999","1999","MXN","Mexican Peso","0","units",,,5.431109,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2000","2000","MXN","Mexican Peso","0","units",,,5.750131,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2001","2001","MXN","Mexican Peso","0","units",,,6.067247,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2002","2002","MXN","Mexican Peso","0","units",,,6.204076,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2003","2003","MXN","Mexican Peso","0","units",,,6.531504,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2004","2004","MXN","Mexican Peso","0","units",,,6.722973,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2005","2005","MXN","Mexican Peso","0","units",,,6.844839,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2006","2006","MXN","Mexican Peso","0","units",,,6.794537,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2007","2007","MXN","Mexican Peso","0","units",,,6.956699,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2008","2008","MXN","Mexican Peso","0","units",,,7.086266,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2009","2009","MXN","Mexican Peso","0","units",,,7.434939,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2010","2010","MXN","Mexican Peso","0","units",,,7.637302,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2011","2011","MXN","Mexican Peso","0","units",,,7.692286,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2012","2012","MXN","Mexican Peso","0","units",,,7.872281,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2013","2013","MXN","Mexican Peso","0","units",,,8.191223,,
"MEX","Mexico","PPPP41","Purchasing Power Parities for actual individual consumption","CD","National currency per US dollar","2014","2014","MXN","Mexican Peso","0","units",,,8.046012,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1950","1950","EUR","Euro","0","units",,,0.239203,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1951","1951","EUR","Euro","0","units",,,0.238301,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1952","1952","EUR","Euro","0","units",,,0.238301,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1953","1953","EUR","Euro","0","units",,,0.238301,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1954","1954","EUR","Euro","0","units",,,0.234094,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1955","1955","EUR","Euro","0","units",,,0.234094,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1956","1956","EUR","Euro","0","units",,,0.234094,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1957","1957","EUR","Euro","0","units",,,0.248228,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1958","1958","EUR","Euro","0","units",,,0.25242,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1959","1959","EUR","Euro","0","units",,,0.306514,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1960","1960","EUR","Euro","0","units",,,0.360607,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1961","1961","EUR","Euro","0","units",,,0.360607,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1962","1962","EUR","Euro","0","units",,,0.360607,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1963","1963","EUR","Euro","0","units",,,0.360607,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1964","1964","EUR","Euro","0","units",,,0.360607,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1965","1965","EUR","Euro","0","units",,,0.360607,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1966","1966","EUR","Euro","0","units",,,0.360607,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1967","1967","EUR","Euro","0","units",,,0.370624,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1968","1968","EUR","Euro","0","units",,,0.420708,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1969","1969","EUR","Euro","0","units",,,0.420708,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1970","1970","EUR","Euro","0","units",,,0.420708,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1971","1971","EUR","Euro","0","units",,,0.417515,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1972","1972","EUR","Euro","0","units",,,0.386279,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1973","1973","EUR","Euro","0","units",,,0.35015,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1974","1974","EUR","Euro","0","units",,,0.346703,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1975","1975","EUR","Euro","0","units",,,0.345023,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1976","1976","EUR","Euro","0","units",,,0.402095,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1977","1977","EUR","Euro","0","units",,,0.45654,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1978","1978","EUR","Euro","0","units",,,0.460783,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1979","1979","EUR","Euro","0","units",,,0.403429,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1980","1980","EUR","Euro","0","units",,,0.430937,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1981","1981","EUR","Euro","0","units",,,0.554865,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1982","1982","EUR","Euro","0","units",,,0.660267,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1983","1983","EUR","Euro","0","units",,,0.862031,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1984","1984","EUR","Euro","0","units",,,0.966193,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1985","1985","EUR","Euro","0","units",,,1.021986,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1986","1986","EUR","Euro","0","units",,,0.841708,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1987","1987","EUR","Euro","0","units",,,0.74212,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1988","1988","EUR","Euro","0","units",,,0.7001,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1989","1989","EUR","Euro","0","units",,,0.711464,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1990","1990","EUR","Euro","0","units",,,0.612635,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1991","1991","EUR","Euro","0","units",,,0.624521,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1992","1992","EUR","Euro","0","units",,,0.615311,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1993","1993","EUR","Euro","0","units",,,0.764851,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1994","1994","EUR","Euro","0","units",,,0.805104,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1995","1995","EUR","Euro","0","units",,,0.749396,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1996","1996","EUR","Euro","0","units",,,0.761251,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1997","1997","EUR","Euro","0","units",,,0.879964,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1998","1998","EUR","Euro","0","units",,,0.897884,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1999","1999","EUR","Euro","0","units",,,0.938627,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2000","2000","EUR","Euro","0","units",,,1.085401,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2001","2001","EUR","Euro","0","units",,,1.11751,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2002","2002","EUR","Euro","0","units",,,1.062552,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2003","2003","EUR","Euro","0","units",,,0.886034,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2004","2004","EUR","Euro","0","units",,,0.805365,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2005","2005","EUR","Euro","0","units",,,0.80412,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2006","2006","EUR","Euro","0","units",,,0.797141,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2007","2007","EUR","Euro","0","units",,,0.730638,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2008","2008","EUR","Euro","0","units",,,0.682675,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2009","2009","EUR","Euro","0","units",,,0.719843,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2010","2010","EUR","Euro","0","units",,,0.755045,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2011","2011","EUR","Euro","0","units",,,0.719355,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2012","2012","EUR","Euro","0","units",,,0.778294,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2013","2013","EUR","Euro","0","units",,,0.753159,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2014","2014","EUR","Euro","0","units",,,0.753731,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2015","2015","EUR","Euro","0","units",,,0.901659,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1950","1950","NZD","New Zealand Dollar","0","units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1951","1951","NZD","New Zealand Dollar","0","units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1952","1952","NZD","New Zealand Dollar","0","units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1953","1953","NZD","New Zealand Dollar","0","units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1954","1954","NZD","New Zealand Dollar","0","units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1955","1955","NZD","New Zealand Dollar","0","units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1956","1956","NZD","New Zealand Dollar","0","units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1957","1957","NZD","New Zealand Dollar","0","units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1958","1958","NZD","New Zealand Dollar","0","units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1959","1959","NZD","New Zealand Dollar","0","units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1960","1960","NZD","New Zealand Dollar","0","units",,,0.714288,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1961","1961","NZD","New Zealand Dollar","0","units",,,0.715514,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1962","1962","NZD","New Zealand Dollar","0","units",,,0.719194,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1963","1963","NZD","New Zealand Dollar","0","units",,,0.719194,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1964","1964","NZD","New Zealand Dollar","0","units",,,0.719194,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1965","1965","NZD","New Zealand Dollar","0","units",,,0.719194,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1966","1966","NZD","New Zealand Dollar","0","units",,,0.719194,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1967","1967","NZD","New Zealand Dollar","0","units",,,0.733666,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1968","1968","NZD","New Zealand Dollar","0","units",,,0.892857,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1969","1969","NZD","New Zealand Dollar","0","units",,,0.892857,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1970","1970","NZD","New Zealand Dollar","0","units",,,0.892857,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1971","1971","NZD","New Zealand Dollar","0","units",,,0.880607,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1972","1972","NZD","New Zealand Dollar","0","units",,,0.83668,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1973","1973","NZD","New Zealand Dollar","0","units",,,0.736812,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1974","1974","NZD","New Zealand Dollar","0","units",,,0.715403,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1975","1975","NZD","New Zealand Dollar","0","units",,,0.832307,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1976","1976","NZD","New Zealand Dollar","0","units",,,1.004889,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1977","1977","NZD","New Zealand Dollar","0","units",,,1.030312,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1978","1978","NZD","New Zealand Dollar","0","units",,,0.964425,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1979","1979","NZD","New Zealand Dollar","0","units",,,0.978502,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1980","1980","NZD","New Zealand Dollar","0","units",,,1.02668,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1981","1981","NZD","New Zealand Dollar","0","units",,,1.152795,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1982","1982","NZD","New Zealand Dollar","0","units",,,1.332608,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1983","1983","NZD","New Zealand Dollar","0","units",,,1.496773,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1984","1984","NZD","New Zealand Dollar","0","units",,,1.763992,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1985","1985","NZD","New Zealand Dollar","0","units",,,2.023372,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1986","1986","NZD","New Zealand Dollar","0","units",,,1.913161,,
