code,country,2007Q1,2007M01,2007M02,2007M03,2007Q2,2007M04,2007M05,2007M06,2007Q3,2007M07,2007M08,2007M09,2007Q4,2007M10,2007M11,2007M12,2008Q1,2008M01,2008M02,2008M03,2008Q2,2008M04,2008M05,2008M06,2008Q3,2008M07,2008M08,2008M09,2008Q4,2008M10,2008M11,2008M12,2009Q1,2009M01,2009M02,2009M03,2009Q2,2009M04,2009M05,2009M06,2009Q3,2009M07,2009M08,2009M09,2009Q4,2009M10,2009M11,2009M12,2010Q1,2010M01,2010M02,2010M03,2010Q2,2010M04,2010M05,2010M06,2010Q3,2010M07,2010M08,2010M09,2010Q4,2010M10,2010M11,2010M12,2011Q1,2011M01,2011M02,2011M03,2011Q2,2011M04,2011M05,2011M06,2011Q3,2011M07,2011M08,2011M09,2011Q4,2011M10,2011M11,2011M12,2012Q1,2012M01,2012M02,2012M03,2012Q2,2012M04,2012M05,2012M06,2012Q3,2012M07,2012M08,2012M09,2012Q4,2012M10,2012M11,2012M12,2013Q1,2013M01,2013M02,2013M03,2013Q2,2013M04,2013M05,2013M06,2013Q3,2013M07,2013M08,2013M09,2013Q4,2013M10,2013M11,2013M12,2014Q1,2014M01,2014M02,2014M03,2014Q2,2014M04,2014M05,2014M06,2014Q3,2014M07,2014M08,2014M09,2014Q4,2014M10,2014M11,2014M12,2015Q1,2015M01,2015M02,2015M03,2015Q2,2015M04,2015M05,2015M06,2015Q3,2015M07,2015M08,2015M09,2015Q4,2015M10,2015M11,2015M12,2016Q1,2016M01,2016M02,2016M03,2016Q2,2016M04,2016M05,2016M06,2016Q3,2016M07,2016M08,2016M09,2016Q4,2016M10,2016M11,2016M12
,World,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,98.8,98.5,98.8,99.1,99.5,99.4,99.6,99.6,100.2,99.9,100.2,100.6,101.4,101,101.4,101.9,103.1,102.6,103.1,103.7,104.5,104.2,104.5,104.7,105.4,105,105.4,105.8,106.2,106.1,106.2,106.4,107.4,107,107.3,108,108.4,108.4,108.4,108.4,109.2,108.6,109.2,109.7,110.2,110,110.1,110.4,111.4,110.8,111.5,111.8,112.2,112,112.2,112.5,113.3,112.9,113.3,113.7,114.1,113.9,114.1,114.3,115,114.6,115,115.4,116.2,115.9,116.2,116.5,117,116.8,117,117.3,117.4,117.4,117.3,117.4,118,117.4,118.1,118.6,119.4,119,119.4,119.7,120.2,120,120.3,120.5,120.9,120.7,120.9,121,121.6,121.1,121.7,122,122.9,122.5,122.9,123.3,123.8,123.6,123.7,124.1,124.8,124.5,124.7,125
,Advanced Economies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,99.4,99.1,99.3,99.7,100,100,100,100,100.1,99.9,100.1,100.2,100.6,100.5,100.5,100.7,101.5,101,101.4,102.1,102.8,102.6,102.9,102.8,103.1,102.9,103.1,103.3,103.3,103.3,103.3,103.3,103.9,103.5,103.8,104.5,104.7,104.8,104.7,104.5,104.8,104.4,104.9,105.2,105.1,105.3,105,105,105.5,105,105.5,105.8,106,105.8,106,106.1,106.3,106.2,106.3,106.5,106.4,106.4,106.3,106.4,106.8,106.4,106.7,107.2,107.8,107.7,107.9,108,107.9,107.9,107.9,108,107.5,107.9,107.5,107.2,107,106.6,107,107.5,108,107.8,108.1,108.3,108.2,108.2,108.2,108.1,107.9,108.1,107.9,107.8,107.6,107.4,107.5,108,108.5,108.2,108.5,108.7,108.7,108.6,108.7,108.9,109.1,109.2,109.1,109.2
EUR,Euro Area,93.71,93.33,93.6,94.22,95,94.82,95.04,95.14,95.07,94.9,94.97,95.32,96.26,95.78,96.3,96.68,96.86,96.32,96.65,97.61,98.45,97.92,98.53,98.9,98.72,98.75,98.61,98.8,98.46,98.82,98.35,98.22,97.78,97.39,97.79,98.16,98.61,98.52,98.56,98.76,98.35,98.11,98.45,98.47,98.88,98.7,98.82,99.13,98.89,98.31,98.62,99.72,100.2,100.13,100.23,100.23,100.04,99.8,100.01,100.31,100.88,100.62,100.7,101.31,101.33,100.59,101.01,102.38,102.95,102.96,102.96,102.94,102.73,102.35,102.55,103.3,103.84,103.66,103.76,104.1,104.05,103.26,103.77,105.12,105.48,105.6,105.46,105.38,105.35,104.83,105.23,106,106.23,106.25,106.03,106.42,105.98,105.3,105.7,106.94,106.96,106.85,106.96,107.07,106.77,106.5,106.64,107.16,107.1,107.03,106.94,107.32,106.67,106.12,106.45,107.45,107.57,107.61,107.49,107.61,107.15,106.91,107.03,107.5,107.27,107.44,107.24,107.14,106.34,105.49,106.16,107.36,107.77,107.62,107.85,107.84,107.24,107.16,107.17,107.4,107.45,107.56,107.4,107.38,106.38,105.83,106,107.32,107.68,107.36,107.75,107.93,107.53,107.33,107.43,107.84,108.24,108.11,108.02,108.6
,Austria,93.5,93.22,93.41,93.87,94.57,94.35,94.64,94.73,94.71,94.69,94.62,94.83,95.93,95.4,95.85,96.54,96.61,96.23,96.43,97.16,97.98,97.46,98.11,98.38,98.25,98.26,98.09,98.39,98.06,98.32,98.04,97.82,97.67,97.42,97.7,97.89,98.26,98.1,98.38,98.29,98.28,97.98,98.36,98.48,98.67,98.51,98.68,98.83,99.04,98.61,98.71,99.81,100.18,100.11,100.21,100.21,100.04,99.81,100.01,100.31,100.74,100.61,100.51,101.11,101.88,101.01,101.71,102.91,103.48,103.41,103.51,103.51,103.58,103.31,103.51,103.91,104.14,104.01,104.11,104.31,104.51,103.81,104.31,105.41,105.78,105.81,105.71,105.81,106.01,105.51,105.81,106.71,107.04,106.91,107.01,107.21,107.11,106.61,106.91,107.81,108.04,107.91,108.11,108.11,107.94,107.61,107.71,108.51,108.71,108.41,108.51,109.21,108.81,108.31,108.51,109.61,109.94,109.71,110.01,110.11,109.74,109.51,109.51,110.21,110.24,110.11,110.31,110.31,109.74,109.11,109.44,110.66,111.06,110.88,111.1,111.21,110.77,110.77,110.55,110.99,111.1,110.88,110.99,111.43,110.81,110.44,110.55,111.43,111.69,111.43,111.76,111.88,111.54,111.43,111.21,111.99,112.58,112.32,112.43,112.98
,Belgium,92.86,92.53,93.02,93.03,93.38,93.45,93.35,93.34,93.68,93.73,93.62,93.7,94.88,94.2,95.08,95.34,96.42,95.73,96.42,97.11,98.11,97.34,98.21,98.75,98.92,99.27,98.67,98.83,98.18,98.64,98.06,97.85,97.98,97.94,98.28,97.72,97.81,97.92,97.85,97.66,97.72,97.6,97.9,97.64,97.91,97.69,97.94,98.11,98.94,98.55,98.97,99.33,99.94,99.68,100.08,100.06,100.26,100.11,100.17,100.48,100.84,100.62,100.75,101.15,102.29,101.72,102.31,102.83,103.41,103.08,103.42,103.75,103.9,103.86,103.78,104.06,104.51,104.22,104.63,104.67,105.93,105.44,106.06,106.29,106.25,106.36,106.33,106.08,106.64,106.28,106.74,106.92,107.04,107.12,107,107.01,107.26,106.98,107.32,107.47,107.6,107.43,107.59,107.77,107.86,107.88,107.82,107.88,107.9,107.79,107.87,108.04,108.33,108.19,108.36,108.43,108.04,108.1,107.98,108.06,107.94,108.25,107.84,107.75,107.76,107.89,107.75,107.63,107.8,107.49,107.93,108,108.58,108.41,108.58,108.74,108.82,108.74,108.82,108.89,109.3,109.27,109.39,109.25,109.74,109.37,109.43,110.42,110.89,110.61,110.97,111.09,111.1,111.22,111.16,110.93,111.35,111.25,111.33,111.47
CYP,Cyprus,90.84,90.51,90.45,91.56,92.81,92.57,93.03,92.84,92.9,92.15,92.67,93.89,95.32,94.76,95.45,95.76,95.07,94.43,94.9,95.86,97.47,96.84,97.63,97.92,97.97,97.33,97.68,98.89,98.74,99.72,98.73,97.77,95.97,95.48,95.53,96.9,98.15,98.09,98.25,98.12,96.98,96.55,96.71,97.68,99.59,98.93,100.08,99.77,98.43,97.8,98.28,99.22,99.92,99.91,99.83,100.03,100.01,99.03,99.85,101.13,101.64,101.94,101.57,101.41,101.2,100.58,101.01,102,103.7,103.19,103.7,104.22,102.99,102.68,102.74,103.54,105.27,105.04,105.38,105.4,104.43,103.71,104.13,105.44,106.4,106.37,106.76,106.06,105.52,104.92,105.48,106.15,106.69,106.87,106.64,106.56,106.01,105.61,105.84,106.56,106.07,106.05,106.02,106.14,104.71,104.59,104.48,105.06,104.55,105.16,104.4,104.1,103.27,102.56,103.11,104.13,104.61,104.13,104.58,104.88,103.94,103.98,103.73,104.1,103.82,104.64,104.24,102.58,101.68,101.21,101.66,102.17,102.35,102.2,102.5,102.34,101.11,100.88,100.97,101.47,101.78,101.99,102.03,101.32,99.41,99.71,98.92,99.58,100.11,99.74,100.37,100.22,100.53,100.42,100.33,100.85,101.05,100.94,100.87,101.33
,Estonia,85.26,84.9,85,85.88,86.92,86.37,86.98,87.4,88.72,88.34,88.45,89.38,91.36,90.31,91.55,92.23,94.69,94.24,94.57,95.28,96.81,96.22,96.8,97.4,98.36,98.1,98.21,98.76,98.92,99.19,98.89,98.66,97.67,98.06,97.74,97.21,96.52,96.52,96.53,96.5,97.3,97.38,97.36,97.17,96.95,97.04,96.84,96.98,97.93,97.38,97.59,98.82,99.57,99.3,99.48,99.92,100.47,100.19,100.2,101.02,102.03,101.62,101.96,102.52,103.2,102.5,103.16,103.95,104.75,104.64,104.8,104.8,105.75,105.35,105.66,106.23,106.21,106.09,106.21,106.33,107.71,107.09,107.51,108.54,108.85,108.87,108.8,108.88,109.69,109.15,109.69,110.23,110.18,110.44,110.08,110.01,111.52,110.79,111.47,112.29,112.54,112.2,112.43,112.99,112.75,112.89,112.87,112.5,111.8,112.11,111.7,111.58,112.19,111.99,112.13,112.46,112.51,112.43,112.54,112.58,112.11,112.4,112.06,111.87,111.13,111.86,111,110.54,111.18,110.54,111.18,111.82,112.46,112.35,112.6,112.42,111.59,112.02,111.69,111.07,110.68,111.19,110.83,110.02,110.71,109.91,110.67,111.56,111.69,111.51,111.59,111.96,112.07,111.95,112.03,112.24,112.1,111.86,111.98,112.46
,Finland,93.83,93.2,93.83,94.47,94.93,94.93,94.84,95.02,95.14,94.93,95.02,95.48,95.87,95.75,96.02,95.84,97.42,96.84,97.3,98.12,98.79,98.3,98.85,99.21,99.49,99.03,99.49,99.94,99.52,99.94,99.49,99.12,99,98.94,99.03,99.03,99,99.03,98.84,99.12,98.73,98.48,98.75,98.94,98.48,98.39,98.48,98.57,99.19,98.78,99.1,99.67,99.95,100,99.87,99.97,99.81,99.29,99.79,100.34,101.05,100.74,100.99,101.41,102.38,101.78,102.4,102.96,103.3,103.16,103.21,103.51,103.63,103.22,103.62,104.05,104.35,104.31,104.38,104.35,105.53,105.01,105.59,105.99,106.39,106.36,106.37,106.44,106.52,106.24,106.44,106.86,106.84,107.02,106.67,106.81,107.31,106.72,107.35,107.84,107.99,108,108.02,107.95,107.95,107.93,107.76,108.14,108.32,108.29,108.13,108.53,108.73,108.46,108.73,108.98,108.99,109.14,108.87,108.95,109.14,108.83,108.99,109.58,109.21,109.39,109.18,109.04,108.6,108.29,108.57,108.92,108.86,108.91,108.83,108.82,108.77,108.58,108.78,108.93,108.94,109.1,108.92,108.78,108.57,108.32,108.47,108.9,109.2,109.2,109.2,109.2,109.24,109.1,109.2,109.4,109.7,109.6,109.6,109.9
,France,94.64,94.39,94.56,94.97,95.63,95.43,95.67,95.79,95.84,95.55,95.93,96.03,96.75,96.27,96.8,97.16,97.43,97.05,97.26,97.99,98.79,98.32,98.84,99.2,98.95,99,98.96,98.9,98.45,98.84,98.38,98.14,98.04,97.73,98.11,98.29,98.58,98.44,98.59,98.72,98.54,98.28,98.78,98.54,98.81,98.63,98.77,99.03,99.34,98.81,99.36,99.84,100.17,100.1,100.21,100.2,100.05,99.92,100.15,100.08,100.44,100.21,100.33,100.78,101.13,100.54,101.01,101.84,102.25,102.18,102.24,102.32,102.2,101.87,102.4,102.32,102.89,102.56,102.84,103.27,103.47,102.9,103.32,104.18,104.3,104.32,104.26,104.31,104.22,103.84,104.54,104.27,104.47,104.47,104.31,104.64,104.57,104.11,104.4,105.2,105.14,105.04,105.1,105.27,105.2,104.96,105.45,105.2,105.15,105.06,105.02,105.37,105.33,104.78,105.36,105.83,105.81,105.83,105.83,105.75,105.61,105.42,105.91,105.5,105.45,105.54,105.35,105.45,105.08,104.38,105.08,105.77,106.02,105.88,106.14,106.05,105.7,105.62,105.96,105.53,105.54,105.6,105.4,105.63,105.04,104.62,104.88,105.61,106.02,105.68,106.12,106.25,106,105.85,106.2,105.95,106.07,105.98,105.96,106.27
,Germany,95.04,94.71,95.11,95.31,95.81,95.81,95.81,95.81,96.31,96.31,96.21,96.41,97.14,96.61,97.11,97.71,97.84,97.41,97.81,98.31,98.57,98.11,98.71,98.91,99.27,99.51,99.21,99.11,98.71,98.91,98.41,98.81,98.64,98.31,98.91,98.71,98.84,98.81,98.71,99.01,99.04,99.01,99.21,98.91,99.11,98.91,98.81,99.61,99.44,99.01,99.41,99.91,99.94,100.01,99.91,99.91,100.14,100.11,100.21,100.11,100.48,100.21,100.31,100.91,101.31,100.71,101.31,101.91,101.94,101.91,101.91,102.01,102.34,102.21,102.31,102.51,102.71,102.51,102.71,102.91,103.48,102.81,103.51,104.11,103.84,103.91,103.91,103.71,104.41,104.11,104.51,104.61,104.78,104.61,104.71,105.01,105.08,104.51,105.11,105.61,105.41,105.11,105.51,105.61,106.11,106.11,106.11,106.11,106.18,105.91,106.11,106.51,106.34,105.91,106.41,106.71,106.54,106.51,106.41,106.71,107.01,107.01,107.01,107.01,106.71,106.71,106.71,106.71,106.38,105.61,106.51,107.01,107.04,107.01,107.11,107.01,107.14,107.21,107.21,107.01,107.04,107.01,107.11,107.01,106.64,106.11,106.51,107.31,107.14,106.91,107.21,107.31,107.64,107.61,107.61,107.71,108.24,107.91,108.01,108.81
