"PACIFIC Exchange Rate Service"
"MMM YYYY","USD/NLG","USD/XCD","USD/EGP","USD/EEK","USD/EUR","USD/FJD","USD/FIM","USD/FRF","USD/XAF","USD/XPF","USD/DEM","USD/GHS","USD/XAU","USD/GRD","USD/HNL","USD/HKD","USD/HUF","USD/ISK","USD/INR","USD/IDR"
"Jan 1972",,,,,,,,0.193279,,,0.30954,,,,,,,,,
"Feb 1972",,,,,,,,0.196500,,,0.31389,,,,,,,,,
"Mar 1972",,,,,,,,0.198349,,,0.31500,,,,,,,,,
"Apr 1972",,,,,,,,0.198386,,,0.31468,,,,,,,,,
"May 1972",,,,,,,,0.199443,,,0.31454,,,,,,,,,
"Jun 1972",,,,,,,,0.199372,,,0.31560,,,,,,,,,
"Jul 1972",,,,,,,,0.199901,,,0.31634,,,,,,,,,
"Aug 1972",,,,,,,,0.199854,,,0.31382,,,,,,,,,
"Sep 1972",,,,,,,,0.199768,,,0.31318,,,,,,,,,
"Oct 1972",,,,,,,,0.199060,,,0.31184,,,,,,,,,
"Nov 1972",,,,,,,,0.198393,,,0.31215,,,,,,,,,
"Dec 1972",,,,,,,,0.196567,,,0.31262,,,,,,,,,
"Jan 1973",,,,,,,,0.196706,,,0.31287,,,,,,,,,
"Feb 1973",,,,,,,,0.209507,,,0.33273,,,,,,,,,
"Mar 1973",,,,,,,,0.221452,,,0.35546,,,,,,,,,
"Apr 1973",,,,,,,,0.219590,,,0.35251,,,,,,,,,
"May 1973",,,,,,,,0.223355,,,0.35830,,,,,,,,,
"Jun 1973",,,,,,,,0.234685,,,0.38766,,,,,,,,,
"Jul 1973",,,,,,,,0.246488,,,0.42809,,,,,,,,,
"Aug 1973",,,,,,,,0.235167,,,0.41202,,,,,,,,,
"Sep 1973",,,,,,,,0.234650,,,0.41244,,,,,,,,,
"Oct 1973",,,,,,,,0.237167,,,0.41426,,,,,,,,,
"Nov 1973",,,,,,,,0.226762,,,0.38743,,,,,,,,,
"Dec 1973",,,,,,,,0.217528,,,0.37626,,,,,,,,,
"Jan 1974",,,,,,,,0.198882,,,0.35523,,,,,,,,,
"Feb 1974",,,,,,,,0.201816,,,0.36837,,,,,,,,,
"Mar 1974",,,,,,,,0.207405,,,0.38195,,,,,,,,,
"Apr 1974",,,,,,,,0.205401,,,0.39586,,,,,,,,,
"May 1974",,,,,,,,0.205386,,,0.40624,,,,,,,,,
"Jun 1974",,,,,,,,0.204075,,,0.39599,,,,,,,,,
"Jul 1974",,,,,,,,0.209811,,,0.39172,,,,,,,,,
"Aug 1974",,,,,,,,0.209095,,,0.38192,,,,,,,,,
"Sep 1974",,,,,,,,0.208307,,,0.37580,,,,,,,,,
"Oct 1974",,,,,,,,0.211299,,,0.38568,,,,,,,,,
"Nov 1974",,,,,,,,0.213837,,,0.39824,,,,,,,,,
"Dec 1974",,,,,,,,0.221041,,,0.40811,,,,,,,,,
"Jan 1975",,,,,,,,0.228898,,,0.42285,,,,,,,,,
"Feb 1975",,,,,,,,0.233844,,,0.42973,,,,,,,,,
"Mar 1975",,,,,,,,0.238036,,,0.43116,,,,,,,,,
"Apr 1975",,,,,,,,0.238037,,,0.42090,,,,,,,,,
"May 1975",,,,,,,,0.246521,,,0.42544,,,,,,,,,
"Jun 1975",,,,,,,,0.249702,,,0.42725,,,,,,,,,
"Jul 1975",,,,,,,,0.236470,,,0.40441,,,,,,,,,
"Aug 1975",,,,,,,,0.228477,,,0.38857,,,,,,,,,
"Sep 1975",,,,,,,,0.223497,,,0.38184,,,,,,,,,
"Oct 1975",,,,,,,,0.226920,,,0.38734,,,,,,,,,
"Nov 1975",,,,,,,,0.226823,,,0.38616,,,,,,,,,
"Dec 1975",,,,,,,,0.224281,,,0.38144,,,,,,,,,
"Jan 1976",,,,,,,,0.223391,,,0.38424,,,,,,,,,
"Feb 1976",,,,,,,,0.223500,,,0.39033,,,,,,,,,
"Mar 1976",,,,,,,,0.216497,,,0.39062,,,,,,,,,
"Apr 1976",,,,,,,,0.214111,,,0.39401,,,,,,,,,
"May 1976",,,,,,,,0.212708,,,0.39033,,,,,,,,,
"Jun 1976",,,,,,,,0.211085,,,0.38797,,,,,,,,,
"Jul 1976",,,,,,,,0.206460,,,0.38842,,,,,,,,,
"Aug 1976",,,,,,,,0.201303,,,0.39538,,,,,,,,,
"Sep 1976",,,,,,,,0.203341,,,0.40165,,,,,,,,,
