"PACIFIC Exchange Rate Service"
"MMM YYYY","USD/IEP","USD/ILS","USD/ITL","USD/JMD","USD/JPY","USD/JOD","USD/KWD","USD/LBP","USD/LUF","USD/MYR","USD/MTL","USD/MXN","USD/MAD","USD/NZD","USD/NOK","USD/XCB","USD/XCT","USD/PKR","USD/PAB","USD/PEN"
"Jan 1972",,,0.00169219,,0.0031977,,,,,,,,,,,,,,,
"Feb 1972",,,0.00170356,,0.0032766,,,,,,,,,,,,,,,
"Mar 1972",,,0.00171606,,0.0033054,,,,,,,,,,,,,,,
"Apr 1972",,,0.00171378,,0.0032942,,,,,,,,,,,,,,,
"May 1972",,,0.00171753,,0.0032854,,,,,,,,,,,,,,,
"Jun 1972",,,0.00171400,,0.0033068,,,,,,,,,,,,,,,
"Jul 1972",,,0.00172084,,0.0033219,,,,,,,,,,,,,,,
"Aug 1972",,,0.00172024,,0.0033204,,,,,,,,,,,,,,,
"Sep 1972",,,0.00171987,,0.0033210,,,,,,,,,,,,,,,
"Oct 1972",,,0.00171443,,0.0033221,,,,,,,,,,,,,,,
"Nov 1972",,,0.00171088,,0.0033224,,,,,,,,,,,,,,,
"Dec 1972",,,0.00171457,,0.0033196,,,,,,,,,,,,,,,
"Jan 1973",,,0.00170813,,0.0033136,,,,,,,,,,,,,,,
"Feb 1973",,,0.00174194,,0.0035917,,,,,,,,,,,,,,,
"Mar 1973",,,0.00176002,,0.0038182,,,,,,,,,,,,,,,
"Apr 1973",,,0.00169711,,0.0037666,,,,,,,,,,,,,,,
"May 1973",,,0.00169600,,0.0037786,,,,,,,,,,,,,,,
"Jun 1973",,,0.00167868,,0.0037807,,,,,,,,,,,,,,,
"Jul 1973",,,0.00171989,,0.0037799,,,,,,,,,,,,,,,
"Aug 1973",,,0.00174209,,0.0037704,,,,,,,,,,,,,,,
"Sep 1973",,,0.00176911,,0.0037669,,,,,,,,,,,,,,,
"Oct 1973",,,0.00176552,,0.0037546,,,,,,,,,,,,,,,
"Nov 1973",,,0.00168976,,0.0035937,,,,,,,,,,,,,,,
"Dec 1973",,,0.00164583,,0.0035692,,,,,,,,,,,,,,,
"Jan 1974",,,0.00154186,,0.0033542,,,,,,,,,,,,,,,
"Feb 1974",,,0.00152739,,0.0034354,,,,,,,,,,,,,,,
"Mar 1974",,,0.00156823,,0.0035440,,,,,,,,,,,,,,,
"Apr 1974",,,0.00157195,,0.0036000,,,,,,,,,,,,,,,
"May 1974",,,0.00158061,,0.0035847,,,,,,,,,,,,,,,
"Jun 1974",,,0.00153779,,0.0035340,,,,,,,,,,,,,,,
"Jul 1974",,,0.00155221,,0.0034367,,,,,,,,,,,,,,,
"Aug 1974",,,0.00152683,,0.0033082,,,,,,,,,,,,,,,
"Sep 1974",,,0.00151032,,0.0033436,,,,,,,,,,,,,,,
"Oct 1974",,,0.00149915,,0.0033404,,,,,,,,,,,,,,,
"Nov 1974",,,0.00149954,,0.0033325,,,,,,,,,,,,,,,
"Dec 1974",,,0.00151776,,0.0033288,,,,,,,,,,,,,,,
"Jan 1975",,,0.00155032,,0.0033368,,,,,,,,,,,,,,,
"Feb 1975",,,0.00156764,,0.0034286,,,,,,,,,,,,,,,
"Mar 1975",,,0.00158421,,0.0034728,,,,,,,,,,,,,,,
"Apr 1975",,,0.00157666,,0.0034223,,,,,,,,,,,,,,,
"May 1975",,,0.00159363,,0.0034313,,,,,,,,,,,,,,,
"Jun 1975",,,0.00159823,,0.0034076,,,,,,,,,,,,,,,
"Jul 1975",,,0.00153830,,0.0033741,,,,,,,,,,,,,,,
"Aug 1975",,,0.00149632,,0.0033560,,,,,,,,,,,,,,,
"Sep 1975",,,0.00147376,,0.0033343,,,,,,,,,,,,,,,
"Oct 1975",,,0.00147450,,0.0033076,,,,,,,,,,,,,,,
"Nov 1975",,,0.00147202,,0.0033053,,,,,,,,,,,,,,,
"Dec 1975",,,0.00146445,,0.0032715,,,,,,,,,,,,,,,
"Jan 1976",,,0.00142257,,0.0032826,,,,,,,,,,,,,,,
"Feb 1976",,,0.00130172,,0.0033156,,,,,,,,,,,,,,,
"Mar 1976",,,0.00120990,,0.0033276,,,,,,,,,,,,,,,
"Apr 1976",,,0.00113669,,0.0033432,,,,,,,,,,,,,,,
"May 1976",,,0.00116664,,0.0033444,,,,,,,,,,,,,,,
"Jun 1976",,,0.00117790,,0.0033423,,,,,,,,,,,,,,,
"Jul 1976",,,0.00119433,,0.0033940,,,,,,,,,,,,,,,
"Aug 1976",,,0.00119359,,0.0034409,,,,,,,,,,,,,,,
"Sep 1976",,,0.00118361,,0.0034799,,,,,,,,,,,,,,,
"Oct 1976",,,0.00116807,,0.0034342,,,,,,,,,,,,,,,
"Nov 1976",,,0.00115536,,0.0033879,,,,,,,,,,,,,,,
"Dec 1976",,,0.00115211,,0.0033933,,,,,,,,,,,,,,,
"Jan 1977",,,0.00113717,,0.0034358,,,,,,,,,,,,,,,
"Feb 1977",,,0.00113269,,0.0035085,,,,,,,,,,,,,,,
"Mar 1977",,,0.00112760,,0.0035685,,,,,,,,,,,,,,,
"Apr 1977",,,0.00112643,,0.0036336,,,,,,,,,,,,,,,
