date,EUR,CYP,MTL,SKK,CAD,HKD,CZK,DKK,ISK,ILS,JPY,KRW,NOK,SGD,SEK,CHF,GBP,CNY,FJD,INR,IDR,MYR,PHP,LKR,THB,VND,BGN,HRK,HUF,PLN,RON,TRY,RUB,DZD,EGP,KWD,MAD,PKR,SAR,TND,AED,GHS,ZAR,BRL,COP,HNL,JMD,MXN,PEN,TTD,UYU
2007-01-15,93.33,90.51,90.53,92.33,93.93,92.18,89.92,91.81,73.48,88.77,100.39,88.57,90.87,88.8,94.23,96.15,90.15,89.88,84.28,72.19,81.23,92.19,84.48,69.09,91.07,66.5,81.29,89.23,83.4,88.42,80.87,76.14,70.31,84.74,66.19,80.71,93.63,61.41,80.97,86.2,86.95,61.25,77.33,84.36,84.93,78.29,62.86,85.85,88.75,72.74,77.95
2007-02-15,93.6,90.45,90.77,92.53,94.62,90.95,90.2,92.79,73.79,88.5,99.87,89.17,91.26,89.33,94.7,96.35,90.59,90.93,85.33,72.76,81.57,92.19,84.4,70.63,90.7,67.96,81.67,89.55,84.47,88.68,80.91,76.47,71.08,84,66.46,80.71,93.53,62.05,80.5,86.12,86.95,62,77.22,84.73,85.93,78.97,63.05,86.09,88.97,72.97,78.43
2007-03-15,94.22,91.56,91.22,92.6,95.39,92.67,90.48,93.19,73.53,88.68,100.18,89.69,91.81,89.15,95.32,96.41,91.02,90.63,85.73,72.19,81.72,92.11,84.4,70.54,91.26,67.77,81.62,90.09,85.13,89.12,80.96,77.17,71.51,84.64,66.72,81.41,93.74,62.35,80.81,86.28,86.95,62.79,77.89,85.04,86.97,79.56,63.79,86.27,89.28,73.2,79.13
2007-04-15,94.82,92.57,91.85,92.8,95.82,92.18,91.09,93.36,73.99,89.12,100.49,90.03,91.81,89.5,95.81,97.51,91.29,90.57,86.13,72.76,81.71,92.11,84.56,71.14,92.18,68.14,82.02,90.73,85.46,89.57,81.38,78.1,71.91,83.22,66.85,80.99,94.43,62.55,80.89,86.77,86.95,63.76,78.9,85.25,87.75,80.01,64.1,86.22,89.44,73.95,80.1
2007-05-15,95.04,93.03,92.09,92.8,96.25,92.3,91.43,93.52,74.62,89.12,100.8,90.12,91.88,89.77,95.7,97.73,91.55,90.35,87.51,73.33,81.8,92.19,84.81,71.59,92.92,68.63,82.09,91.16,86.12,90.02,81.91,78.49,72.37,84.1,66.79,81.41,93.74,63.12,80.81,87.43,86.95,64.91,79.34,85.49,88.01,80.33,64.91,85.8,89.89,74.4,80.71
2007-06-15,95.14,92.84,92.16,93.07,96.08,92.67,91.71,93.44,75,89.75,100.6,90.12,91.81,89.42,95.86,97.85,91.72,91.48,87.83,73.9,81.95,92.37,85.23,73.09,92.92,69.23,81.78,90.84,86.45,90.02,82.02,78.3,73.05,85.43,66.92,81.97,94.06,63.25,80.97,88.16,86.95,65.39,80.02,85.72,88.12,80.65,65.41,85.9,90.34,74.75,80.82
2007-07-15,94.9,92.15,92.28,93,96.16,93.03,92.05,93.03,75.17,90.74,100.49,90.46,91.57,91.26,95.71,97.27,91.2,92.13,87.67,75.04,82.43,92.72,85.73,74.23,92.92,69.9,83.59,90.19,86.45,89.77,82.25,77.73,73.69,84.15,67.38,82.53,93.85,63.89,81.9,88.41,86.95,66.15,80.8,85.93,88.27,81.19,66.03,86.27,90.74,76.12,81.49
2007-08-15,94.97,92.67,92.53,93.07,95.91,93.15,92.33,92.87,75.19,91.37,101.01,90.55,91.5,91.61,95.68,97.15,91.46,92.99,86.94,75.6,82.9,92.89,85.81,75.19,92.37,70.27,86.18,90.73,86.36,89.38,82.96,77.75,73.76,84.78,68.11,82.32,94.54,64.74,82.44,88.82,86.95,66.28,81.19,86.33,88.15,81.78,66.72,86.62,90.9,76.52,82.89
2007-09-15,95.32,93.89,93.56,93.33,96.08,93.28,92.05,93.36,76.19,90.92,101.01,91.06,92.12,91.35,96.64,97.25,91.55,93.28,86.21,75.6,83.48,92.98,85.98,75.87,92.92,70.63,87.31,91.8,86.94,90.09,83.85,78.55,74.34,86.74,69.5,84.14,95.81,66.11,83.15,89.31,86.95,66.13,81.75,86.48,88.22,82.1,67.78,87.29,91.38,76.75,83.24
2007-10-15,95.78,94.76,94.39,93.86,95.82,94.74,92.55,93.68,76.55,91.01,101.32,91.24,92.35,92.48,97.15,98.08,91.99,93.44,87.02,76.17,84.14,93.07,86.14,78.19,93.76,71.18,87.81,92.13,87.68,90.6,84.67,79.97,75.57,86.38,70.23,84.77,96.08,66.92,83.99,89.72,86.95,66.02,82.48,86.74,88.23,83.1,68.71,87.63,91.7,77.49,83.05
2007-11-15,96.3,95.45,94.63,94.33,96.08,95.23,93.45,94.34,77.06,91.37,101.11,91.24,93.83,93.01,97.78,98.53,92.25,94.2,87.67,76.17,84.31,93.68,86.47,80.28,94.13,72.03,89.2,93.09,88.18,91.24,85.46,81.53,76.49,87.28,70.1,84.91,95.55,67.01,84.92,90.21,86.95,67.08,82.81,87.07,88.65,84.55,70.95,88.25,91.78,78.41,82.86
2007-12-15,96.68,95.76,94.65,94.6,96.16,95.84,93.9,94.26,77.6,91.9,101.32,91.58,94.6,93.45,97.97,98.77,92.77,95.14,88.56,76.17,84.75,93.95,87.14,81.06,94.22,74.1,90.16,94.17,88.51,91.5,86.01,81.71,77.35,88.55,70.36,86.8,95.55,67.41,85.47,90.62,86.95,68.29,83.54,87.71,89.08,84.69,72.69,88.62,92.26,78.35,83.11
2008-01-15,96.32,94.43,93.74,95.86,95.99,95.23,96.71,94.5,77.74,91.91,101.11,92.01,94.21,94.68,97.24,98.48,92.16,96.26,93.45,76.17,86.15,94.3,88.38,83.63,94.96,75.87,91.43,94.81,89.39,92.14,86.74,82.37,79.14,88.34,73.14,88.41,95.23,68.69,86.63,91.03,93.7,69.09,85.41,88.18,90.02,85.23,74.31,89.03,92.43,80.01,83.76
2008-02-15,96.65,94.9,94.13,96.26,96.34,96.58,96.99,95.64,78.82,91.73,100.91,92.36,94.68,95.2,97.64,98.62,92.86,98.84,93.45,76.74,86.79,94.65,88.71,86.03,95.61,78.6,92.44,94.7,90.28,92.52,87.36,83.43,80.09,89.13,74.46,88.9,95.81,69.03,87.48,90.95,94.2,70.19,85.95,88.62,91.39,86.14,75.62,89.29,93.26,79.84,84.52
2008-03-15,97.61,95.86,94.77,96.52,96.68,96.58,96.88,96.05,79.99,91.99,101.42,93.22,94.76,95.11,98.57,98.95,93.21,98.15,93.45,77.88,87.53,94.65,89.38,87.36,96.17,80.92,93.2,95.24,90.81,92.91,87.94,84.23,81.05,90.71,76.32,89.74,96.72,71.16,88.57,91.27,94.7,71.45,87.2,89.04,92.12,86.91,76.49,89.94,94.24,80.35,85.49
2008-04-15,97.92,96.84,95.12,96.72,97.45,97.19,97.21,96.38,82.63,93.34,101.32,93.74,94.68,96.25,99.01,99.73,93.99,98.27,93.45,78.45,87.76,94.91,90.71,88.99,97.84,82.74,94,95.88,91.16,93.29,88.4,85.64,82.21,90.74,77.84,90.23,97.94,73.32,89.34,92.01,95.97,73.52,87.74,89.53,92.78,87.78,77.67,90.14,94.39,80.81,85.77
2008-05-15,98.53,97.63,95.53,97.06,98.4,97.43,97.66,96.71,83.8,93.97,102.15,94.51,94.76,96.43,99.4,100.53,94.61,97.3,93.45,79.01,88.85,95.7,91.78,90.18,99.97,85.96,94.43,96.96,92.14,94.06,88.83,86.92,83.32,90.6,79.96,90.44,98.79,75.29,89.19,92.01,96.95,75.87,88.37,90.24,93.64,89.37,79.54,90.05,94.73,81.84,86.52
2008-06-15,98.9,97.92,95.88,97.39,99.08,98.29,97.83,97.03,84.58,94.06,102.56,95.11,94.91,96.17,99.87,100.7,95.22,97.98,93.45,79.58,91,99.47,93.28,93.92,101.08,87.79,94.28,97.71,92.22,94.26,89.08,86.61,84.12,89.77,80.42,91.28,98.47,76.87,89.58,92.26,97.81,77.43,89.62,90.9,94.45,90.46,81.1,90.42,95.46,83.21,87.63
2008-07-15,98.75,97.33,96.71,97.52,99.43,99.02,98.39,96.71,85.35,95.13,102.77,95.8,95.53,97.31,99.67,100.26,95.22,97.93,93.45,81.29,92.25,100.61,94.44,94.13,101.45,88.76,95.69,97.82,92.22,94.26,89.69,87.11,84.55,89.11,82.21,91.7,98.47,79.43,90.97,92.75,98.93,78.27,90.79,91.38,94.9,92.36,83.4,90.92,95.99,85.15,88.02
2008-08-15,98.61,97.68,96.62,97.72,99.26,97.43,98.28,96.87,86.13,95.94,103.08,95.63,95.61,97.48,99.84,99.99,95.83,97.54,93.45,82.43,92.72,100.79,94.85,93.99,98.39,90.16,95.81,97.49,92.05,93.87,89.61,86.89,84.83,91.26,84.19,91.91,98.63,81.13,91.44,92.75,99.32,78.28,91.32,91.64,95.09,93.23,84.39,91.45,96.55,86.81,88.91
