code,name,country,region
AED,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa
BGN,Bulgarian Lev,Bulgaria,Europe & Central Asia
BRL,Brazilian Real,Brazil,Latin America & Caribbean
CAD,Canadian Dollar,Canada,North America
CHF,Swiss Franc,Switzerland,Europe & Central Asia
CNY,Yuan Renminbi,China,East Asia & Pacific
COP,Colombian Peso,Colombia,Latin America & Caribbean
CYP,Cyprus Pound,Cyprus,Europe & Central Asia
CZK,Czech Koruna,Czech Republic,Europe & Central Asia
DKK,Danish Krone,Denmark,Europe & Central Asia
DZD,Algerian Dinar,Algeria,Middle East & North Africa
EGP,Egyptian Pound,Egypt,Middle East & North Africa
EUR,Euro,European Union,Europe & Central Asia
FJD,Fiji Dollar,Fiji,East Asia & Pacific
GBP,Pound Sterling,United Kingdom,Europe & Central Asia
GHS,Cedi,Ghana,Sub-Saharan Africa
HKD,Hong Kong Dollar,Hong Kong,East Asia & Pacific
HNL,Lempira,Honduras,Latin America & Caribbean
HRK,Croatian Kuna,Croatia,Europe & Central Asia
HUF,Forint,Hungary,Europe & Central Asia
IDR,Rupiah,Indonesia,East Asia & Pacific
ILS,New Israeli Shekel,Israel,Middle East & North Africa
INR,Indian Rupee, India,South Asia
ISK,Iceland Krona,Iceland,Europe & Central Asia
JMD,Jamaican Dollar,Jamaica,Latin America & Caribbean
JPY,Japanese yen,Japan,East Asia & Pacific
KRW,South Korean Won,South Korea,East Asia & Pacific
KWD,Kuwaiti Dinar,Kuwait,Middle East & North Africa
LKR,Sri Lanka Rupee,Sri Lanka,South Asia
MAD,Moroccan Dirham,Morocco,Middle East & North Africa
MTL,Maltese Lira,Malta,Middle East & North Africa
MXN,Mexican Peso,Mexico,Latin America & Caribbean
MYR,Malaysian Ringgit,Malaysia,East Asia & Pacific
NOK,Norwegian Krone,Norway,Europe & Central Asia
PEN,Nuevo Sol,Peru,Latin America & Caribbean
PHP,Philippine Peso,Philippines,East Asia & Pacific
PKR,Pakistan Rupee,Pakistan,South Asia
PLN,Zloty,Poland,Europe & Central Asia
RON,Romanian New Leu,Romania,Europe & Central Asia
RUB,Russian Ruble,Russia,Europe & Central Asia
SAR,Saudi Riyal,Saudi Arabia,Middle East & North Africa
SEK,Swedish Krona,Sweden,Europe & Central Asia
SGD,Singapore Dollar,Singapore,East Asia & Pacific
SKK,Slovak Koruna,Slovakia,Europe & Central Asia
THB,Baht,Thailand,East Asia & Pacific
TND,Tunisian Dinar,Tunisia,Middle East & North Africa
TRY,New Turkish Lira,Turkey,Europe & Central Asia
TTD,Trinidad and Tobago Dollar,Trinidad and Tobago,Latin America & Caribbean
UYU,Peso Uruguayo,Uruguay,Latin America & Caribbean
VND,Vietnamese đồng,Vietnam,East Asia & Pacific
ZAR,South African Rand,South Africa,Sub-Saharan Africa
