,exchange_rate,symbol,date,cpi,name,country,region,cpi_usa,rate_std
0,0.27224,AED,2007-01-15,86.95,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,92.83,0.9994860121888537
1,0.2723,AED,2007-02-15,86.95,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,93.32,0.999706292679345
2,0.27242,AED,2007-03-15,86.95,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,94.17,1.0001468536603275
3,0.27233,AED,2007-04-15,86.95,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,94.79,0.9998164329245907
4,0.27241,AED,2007-05-15,86.95,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,95.37,1.0001101402452455
5,0.27234,AED,2007-06-15,86.95,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,95.55,0.9998531463396726
6,0.27249,AED,2007-07-15,86.95,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,95.53,1.0004038475659005
7,0.27239,AED,2007-08-15,86.95,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,95.35,1.0000367134150818
8,0.27213000000000004,AED,2007-09-15,86.95,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,95.61,0.9990821646229533
9,0.27219,AED,2007-10-15,86.95,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,95.82,0.9993024451134443
10,0.27282,AED,2007-11-15,86.95,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,96.39,1.0016153902636022
11,0.27233,AED,2007-12-15,86.95,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,96.32,0.9998164329245907
12,0.2723,AED,2008-01-15,93.7,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,96.8,0.999706292679345
13,0.27254,AED,2008-02-15,94.2,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,97.08,1.0005874146413098
14,0.27244,AED,2008-03-15,94.7,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,97.92,1.0002202804904912
15,0.27205999999999997,AED,2008-04-15,95.97,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,98.52,0.99882517071738
16,0.27249,AED,2008-05-15,96.95,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,99.35,1.0004038475659005
17,0.27232,AED,2008-06-15,97.81,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,100.35,0.9997797195095087
18,0.27239,AED,2008-07-15,98.93,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,100.88,1.0000367134150818
19,0.27233,AED,2008-08-15,99.32,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,100.47,0.9998164329245907
20,0.272,AED,2008-09-15,99.94,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,100.33,0.9986048902268889
21,0.27166999999999997,AED,2008-10-15,100.07,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,99.32,0.997393347529187
22,0.27265,AED,2008-11-15,99.9,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,97.42,1.0009912622072106
23,0.27229000000000003,AED,2008-12-15,99.78,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,96.41,0.9996695792642633
24,0.27188,AED,2009-01-15,99.74,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,96.83,0.9981643292459065
25,0.27221,AED,2009-02-15,99.41,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,97.31,0.9993758719436082
26,0.27198,AED,2009-03-15,98.57,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,97.55,0.9985314633967252
27,0.27237,AED,2009-04-15,98.43,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,97.79,0.9999632865849181
28,0.27208000000000004,AED,2009-05-15,98.27,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,98.07,0.998898597547544
29,0.27249,AED,2009-06-15,98.31,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,98.92,1.0004038475659005
30,0.27218000000000003,AED,2009-07-15,98.68,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,98.76,0.9992657316983626
31,0.27247,AED,2009-08-15,99.16,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,98.98,1.0003304207357369
32,0.27234,AED,2009-09-15,99.76,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,99.04,0.9998531463396726
33,0.27263000000000004,AED,2009-10-15,99.66,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,99.14,1.000917835377047
34,0.2722,AED,2009-11-15,100.06,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,99.21,0.9993391585285263
35,0.27275,AED,2009-12-15,99.48,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,99.03,1.0013583963580293
36,0.27244,AED,2010-01-15,99.31,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,99.37,1.0002202804904912
37,0.27208000000000004,AED,2010-02-15,99.15,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,99.4,0.998898597547544
38,0.27237,AED,2010-03-15,99.24,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,99.81,0.9999632865849181
39,0.2723,AED,2010-04-15,99.21,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,99.98,0.999706292679345
40,0.27237,AED,2010-05-15,99.14,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,100.06,0.9999632865849181
41,0.27273000000000003,AED,2010-06-15,99.24,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,99.96,1.0012849695278656
42,0.27238,AED,2010-07-15,99.53,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,99.98,1.0
43,0.27238,AED,2010-08-15,100.05,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,100.12,1.0
44,0.27243,AED,2010-09-15,100.92,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,100.18,1.0001835670754093
45,0.27243,AED,2010-10-15,101.5,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,100.3,1.0001835670754093
46,0.27239,AED,2010-11-15,101.52,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,100.34,1.0000367134150818
47,0.27241,AED,2010-12-15,101.2,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,100.52,1.0001101402452455
48,0.27239,AED,2011-01-15,100.92,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,100.99,1.0000367134150818
49,0.27226,AED,2011-02-15,100.65,United Arab Emirates dirham,United Arab Emirates,Middle East & North Africa,101.49,0.9995594390190176
