Country Code,code,Region,IncomeGroup,TableName,SpecialNotes,,,
ABW,,Latin America & Caribbean,High income,Aruba,SNA data for 2000-2011 are updated from official government statistics, 1994-1999 from UN databases. Base year has changed from 1995 to 2000.,,
AFG,,South Asia,Low income,Afghanistan,"Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",,,
AGO,,Sub-Saharan Africa,Lower middle income,Angola,,,,
ALB,,Europe & Central Asia,Upper middle income,Albania,,,,
AND,,Europe & Central Asia,High income,Andorra,WB-3 code changed from ADO to AND to align with ISO code.,,,
ARB,,,,Arab World,Arab World aggregate. Arab World is composed of members of the League of Arab States.,,,
ARE,AED,Middle East & North Africa,High income,United Arab Emirates,,,,
ARG,,Latin America & Caribbean,Upper middle income,Argentina,"National Institute of Statistics and Census revised national accounts from 2004-2015. Argentina, which was temporarily unclassified in July 2016 pending release of revised national accounts statistics, is classified as upper middle income for FY17 as of September 29, 2016.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. An alternative conversion factor is used when the official exchange rate is judged to diverge by an exceptionally large margin from the rate effectively applied to domestic transactions of foreign currencies and traded products. In the case of Argentina, the World Bank has found that during 2012-2015 there were two exchange rates (official and parallel) and parallel exchange rate (blue chip swap rate) was used in around 20% of the transactions. Based on this information an alternative conversion factor has been calculated using a weighted average method for this period.",,,
ARM,,Europe & Central Asia,Lower middle income,Armenia,,,,
ASM,,East Asia & Pacific,Upper middle income,American Samoa,,,,
ATG,,Latin America & Caribbean,High income,Antigua and Barbuda,,,,
AUS,,East Asia & Pacific,High income,Australia,Fiscal year end: June 30, reporting period for national accounts data: FY. Value added current series updated by the Australian Bureau of Statistics, data revised from 1990 onward, Australia reports using SNA 2008.
AUT,,Europe & Central Asia,High income,Austria,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",,,
AZE,,Europe & Central Asia,Upper middle income,Azerbaijan,,,,
BDI,,Sub-Saharan Africa,Low income,Burundi,,,,
BEL,,Europe & Central Asia,High income,Belgium,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",,,
BEN,,Sub-Saharan Africa,Low income,Benin,,,,
BFA,,Sub-Saharan Africa,Low income,Burkina Faso,,,,
BGD,,South Asia,Lower middle income,Bangladesh,Fiscal year end: June 30, reporting period for national accounts data: FY.,,
BGR,BGN,Europe & Central Asia,Upper middle income,Bulgaria,The new reference year for chain linked series is 2010.,,,
BHR,,Middle East & North Africa,High income,Bahrain,,,,
BHS,,Latin America & Caribbean,High income,"Bahamas, The",,,,
BIH,,Europe & Central Asia,Upper middle income,Bosnia and Herzegovina,,,,
BLR,,Europe & Central Asia,Upper middle income,Belarus,"In July 2016 a new Belarusian ruble was introduced, at a rate of 1 new ruble = 10,000 old rubles. Local currency values in this database are in new rubels.",,,
BLZ,,Latin America & Caribbean,Upper middle income,Belize,,,,
BMU,,North America,High income,Bermuda,,,,
